Start,Duration,Class of Type,Event Type,Kind of Object,Event Object,Comment,Tag,Status
2021-08-09 08:00,30,Unclassified,Consume,Unclassified,Podcast,"Lovett or Leave It
Transit to Taylor",,Done
2021-08-09 08:30,30,Unclassified,Connect,Unclassified,Partner,"Breakfast with Taylor
Social capital discussion ",,Done
2021-08-09 09:00,30,Unclassified,Connect,Unclassified,Partner,"Breakfast with Taylor
Clean-Up, Laundry take down",,Done
2021-08-09 09:30,30,Unclassified,Connect,Unclassified,Partner,Sex,,Done
2021-08-09 10:00,30,Unclassified,Consume,Unclassified,Books,Doughnut Economics ,,Done
2021-08-09 10:30,30,Unclassified,Consume,Unclassified,Books,"Doughnut Economics, When I lived in Modern times",,Done
2021-08-09 11:00,30,Unclassified,Consume,Unclassified,Books,"When I lived in modern times, girlhood ",,Done
2021-08-09 11:30,30,Unclassified,Consume,Unclassified,Books,"Girlhood, Doughnut Economics",,Done
2021-08-09 12:00,30,Unclassified,Consume,Unclassified,Books,Doughnut Economics ,,Done
2021-08-09 12:30,30,Unclassified,Consume,Unclassified,Mobile,,,Done
2021-08-09 13:00,30,Unclassified,Connect,Unclassified,Partner,"Lunch with Taylor 
Podcast: Illegal Immigration ",,Done
2021-08-09 13:30,30,Unclassified,Consume,Unclassified,Books,When I Lived in Modern Times,,Done
2021-08-09 14:00,30,Unclassified,Care,Unclassified,Walking,"Clementi 3.5Km 
Lovett or Leave It ",,Done
2021-08-09 14:30,30,Unclassified,Care,Unclassified,Hygiene,,,Done
2021-08-09 15:00,30,Unclassified,Consume,Unclassified,Books,Girlhood,,Done
2021-08-09 15:30,30,Unclassified,Consume,Unclassified,Books,Doughnut Economics ,,Done
2021-08-09 16:00,30,Unclassified,Consume,Unclassified,Books,"Doughnut Economics, When I lived in Modern Times ",,Done
2021-08-09 16:30,30,Unclassified,Consume,Unclassified,Books,Girlhood ,,Done
2021-08-09 17:00,30,Unclassified,Connect,Unclassified,Partner,"Rice sorting
Sex
Chi skipping out on her date ",,Done
2021-08-09 17:30,30,Unclassified,Consume,Unclassified,Podcast,"Lovett or Leave It
Buying Veggies",,Done
2021-08-09 18:00,30,Unclassified,Connect,Unclassified,Partner,"Meal prep
Discussing Saambaash homework",,Done
2021-08-09 18:30,30,Unclassified,Consume,Unclassified,Books,When I lived in Modern Times ,,Done
2021-08-09 19:00,30,Unclassified,Connect,Unclassified,Partner,"Dinner with Taylor
Roasted veg on green curry 
Post dinner clean up ",,Done
2021-08-09 19:30,30,Unclassified,Consume,Unclassified,Books,Girlhood ,,Done
2021-08-09 20:00,30,Unclassified,Consume,Unclassified,Books,When I lived in Modern Times ,,Done
2021-08-09 20:30,30,Unclassified,Connect,Unclassified,Partner,Saambaash walk through on data ,,Done
2021-08-09 21:00,30,Unclassified,Connect,Unclassified,Partner,"SG50 reminiscing
2017 was a good year for him ",,Done
2021-08-09 21:30,30,Unclassified,Connect,Unclassified,Partner,"Sex in his red robe
With a massage to boot ",,Done
2021-08-09 22:00,30,Unclassified,Consume,Unclassified,Books,"When I lived in Modern Times, Girlhood ",,Done
2021-08-09 22:30,30,Unclassified,Consume,Unclassified,Books,Girlhood ,,Done
2021-08-09 23:00,480,Unclassified,Circadian,Unclassified,,,,Done
2021-08-10 07:00,30,Unclassified,Connect,Unclassified,Partner,Sex,,Done
2021-08-10 07:30,30,Unclassified,Connect,Unclassified,Partner,Cuddling ,,Done
2021-08-10 08:00,30,Unclassified,Connect,Unclassified,Partner,Breakfast Prep,,Done
2021-08-10 08:30,30,Unclassified,Connect,Unclassified,Partner,Breakfast,,Done
2021-08-10 09:00,30,Unclassified,Care,Unclassified,Running,3.5KM With Taylor,,Done
2021-08-10 09:30,30,Unclassified,Connect,Unclassified,Partner,"Breakfast clean up, Post run shower sex",,Done
2021-08-10 10:00,60,Unclassified,Consume,Unclassified,Mobile,,,Done
2021-08-10 11:00,60,Unclassified,Consume,Unclassified,Books,Doughnut Economics ,,Done
2021-08-10 12:00,30,Unclassified,Consume,Unclassified,Books,Property,,Done
2021-08-10 12:30,30,Unclassified,Consume,Unclassified,Books,We are not born submissive ,,Done
2021-08-10 13:00,30,Unclassified,Connect,Unclassified,Partner,"Lunch prep, discussing next plans",,Done
2021-08-10 13:30,30,Unclassified,Consume,Unclassified,Podcast,"Lovett or Leave it, Pod Save Americq
Transit: Clementi to home ",,Done
2021-08-10 14:00,30,Unclassified,Consume,Unclassified,Podcast,"Pod save America + Relationship Satisfaction 
Transit Clementi to Home",,Done
2021-08-10 14:30,30,Unclassified,Consume,Unclassified,Podcast,"Pod Save America, BBC World News
Unpacking and making rice ",,Done
2021-08-10 15:00,30,Unclassified,Consume,Unclassified,Podcast,"BBC world news
Water plants, change sheets, take down laundry, tidy up ",,Done
